Wall time,Step,Value
1720016776,5,1.291365385
1720016888,18,0.94583559
1720016941,24,1.096881866
1720017086,40,1.023556232
1720017104,42,1.114964128
1720017131,45,0.976498783
1720017205,53,1.153600097
1720017232,56,1.203791738
1720017363,71,1.164580941
1720017388,74,1.132108569
1720017567,94,1.036319733
1720017638,102,1.251870871
1720017666,105,0.992758989
1720017676,106,1.077214479
1720017741,113,1.076181293
1720017857,126,1.223223567
1720017974,139,1.390724659
1720018071,150,0.957458913
1720018114,155,1.000788093
1720018141,158,1.316601515
1720018225,167,1.282473207
1720018320,178,1.167661428
1720018363,183,1.063456655
1720018381,185,1.127799392
1720018392,186,1.243192554
1720018429,190,1.156247854
1720018501,198,1.034159541
1720018571,206,1.119077325
1720018579,207,1.076895356
1720018624,212,1.016506433
1720018724,223,1.006012678
1720018777,229,0.91149497
1720018821,234,0.959885061
1720018956,249,1.13801682
1720019009,255,0.92363137
1720019054,260,0.995447278
1720019115,267,1.252084613
1720019152,271,1.246852636
1720019171,273,1.013503909
1720019338,292,0.937356472
1720019384,297,1.225628018
1720019393,298,1.293945909
1720019437,303,1.008840322
1720019483,308,1.139843583
1720019500,310,1.075098038
1720019569,318,1.079750419
1720019579,319,1.008562684
1720019679,330,1.022097111
1720019758,339,0.899374187
1720019827,347,1.038443089
1720019973,363,0.98122704
1720020008,367,0.953405917
1720020098,377,1.149975896
1720020492,421,0.903261065
1720020502,422,1.018202782
1720020574,430,1.137337685
1720020656,439,0.99159795
1720020674,441,1.214762688
1720020684,442,1.07366693
1720020711,445,0.832642794
1720020761,451,0.946160913
1720020845,460,1.019538879
1720020872,463,1.129835725
1720020881,464,1.119953632
1720020972,474,1.167179942
1720021125,491,1.049923182
1720021144,493,0.746563613
1720021314,512,0.960993052
1720021332,514,0.937642574
1720021359,517,0.827284813
1720021430,525,0.733696222
1720021481,531,1.053050756
1720021499,533,0.768299937
1720021528,536,0.930748999
1720021584,542,0.826545835
1720021627,547,0.774342239
1720021714,557,0.944654644
1720021770,563,1.151599765
1720021824,569,0.82453388
1720021860,573,1.006569624
1720021912,579,0.921722531
1720021930,581,0.762939692
1720021955,584,0.802466571
1720021972,586,0.897981226
1720021981,587,0.991691053
1720022027,592,0.940310597
1720022035,593,1.141473413
1720022472,602,0.927244306
1720022591,615,1.008362651
1720022637,620,1.031158805
1720022654,622,1.007967472
1720022759,634,0.936618388
1720022823,641,0.989302158
1720022832,642,0.997158527
1720022850,644,0.997292519
1720022878,647,1.005130529
